,类型,题目,答案
227,判断题,22、当我们走进商场等不熟悉的人员密集场所时，应留心疏散楼梯、安全出口的位置，以便发生意外时就近逃离险区。( ),正确
228,判断题,23、逃离火灾不得已跑到楼顶时，火势已发展到了你的前面，不要站在楼顶的上风方向。( ),错误
229,判断题,24、可以锁闭一些日常没人通行的疏散通道和安全出口。( ),错误
230,判断题,25、为了宿舍内的消防安全和整洁，应当将电源线、电源插座埋在地毯下。( ),错误
231,判断题,26、在救灾行动中，首先要切断可能导致次生灾害的电、气等灾源。( ),正确
232,判断题,27、大学生宿舍楼安装限电装置，是为了节约用电。( ),错误
233,判断题,28、大火封门无路可逃时，可用浸湿的被褥、衣物等堵塞门缝，向门上泼水降温，以延缓火势蔓延速度，呼救待援。( ),正确
234,判断题,29、火灾中导致死亡率高的原因是烟气窒息。( ),正确
235,判断题,30、发现封闭的房间内起火，应立即打开门窗，让新鲜的空气进入，以防止人员窒息。( ),错误
236,判断题,1.国家标准《危险货物分类和品名编号》（GB6944-2005）中，危险化学品定义为具有爆炸、易燃、毒害、腐蚀、放射性等性质，在运输、装卸和储存保管过程中，容易造成人身伤亡和财产损毁而需要特别防护的化学品。( ),对 
237,判断题,2.危险废物，是指列入国家危险废物名录或者根据国家规定的危险废物鉴别标准和鉴别方法认定的具有危险特性的固体废物。( ),对 
238,判断题,3.压力容器、压力管道有毒介质泄漏，造成 1000人以上 1万人以下转移的为一般事故。( ),错 
239,判断题,4.高压灭菌锅上的安全阀和压力表只要正常工作，可以隔年检定。( ),错
240,判断题,5.必须在光线充足的情况下进行激光实验，并采取必要的防护措施，切勿直视激光光束或折射光，避免身体直接暴露在激光光束之中。( ),对 
241,判断题,6.一些大功率激光器的能量（或功率）常常超出安全水平许多个数量级，必须戴上护目镜才允许直视激光束。( ),错 
242,判断题,7.化学品 MSDS是指化学品安全技术说明书。安全技术说明书详细描述了化学品的燃爆、毒性和环境危害，给出了安全防护、急救措施、安全储运、泄漏应急处理、法规等方面的信息，是了解化学品信息的综合性资料。( ),对 
243,判断题,8.气瓶瓶帽是指保护瓶阀用的帽罩式安全附件。( ),对 
244,判断题,9.剧毒介质气瓶必须装设安全泄压装置。( ),错
245,判断题,10.受（强）碱腐蚀，先用大量水冲洗，再用2％醋酸溶液或饱和硼酸溶液清洗，然后再用水冲洗。若碱溅入眼内，用硼酸溶液冲洗。( ),对
246,判断题,11.涉及病原微生物的实验，须在相应等级的生物安全实验室内开展；依据实验室所处理对象的生物危险程度，把生物安全实验室分为四级，其中四级对生物安全隔离的要求最低，一级最高。( ),错
247,判断题,12.剧毒化学品、麻醉类和精神类药品需存放在不易移动的保险柜或带双锁的冰箱内，实行“双人领取、双人运输、双人使用、双人双锁保管”的五双制度，并切实做好相关记录。( ),对
248,判断题,13.乙炔气瓶的瓶阀采用碳钢或低合金钢，若选用铜合金其含铜量必须高于70%。( ),错
249,判断题,14.毒性或可燃性气体气瓶应放入如气瓶柜，气瓶柜应有强制换气设备，保持气瓶柜内处于正压状态。( ),错
250,判断题,15.发现气瓶漏气，首先应根据气体性质做好相应的人体防护，在保证安全的前提下，关闭瓶阀。瓶阀失控必须采取紧急措施。( ),对
251,判断题,16.在易燃、易爆、易灼烧及有静电发生的场所，必须使用化纤防护用品。( ),错
252,判断题,17.在稀释浓硫酸时，应将水缓缓倒入浓硫酸中，不断搅拌均匀。( ),错
253,判断题,18.做危险化学实验时应佩戴各种眼镜进行防护，包括戴隐形眼镜。( ),错
254,判断题,19.易爆品应与易燃品、氧化剂隔离存放，最好保存在防爆试剂柜或防爆冰箱内（普通冰箱的温度调节阀及门阀在操作时经常会产生火花，可能引燃挥发的易燃液体蒸气，因此易燃且具有挥发性的液体禁止存放于普通冰箱中）。( ),对
255,判断题,20.使用放射性同位素和射线装置的单位须经学校报政府环保部门审批，获得《辐射安全许可证》。涉辐场所需设置明显的放射性标识，并对放射源实行专人管理和记录，时常检查，做到账物相符。( ),对
256,判断题,21.生物化学类实验废弃物应用蓝色专用塑料袋进行包装分类收集，做好标识。其中，锐器类废弃物需用牢固、厚实的纸板箱等小的容器妥善包装。( ),错
257,判断题,22.金属钠、钾等碱金属应贮存于煤油中；黄磷、汞应贮存于水中。( ),对
258,判断题,23.溴灼伤是很危险的。被溴灼伤后的伤口一般不易愈合，必须严加防范。凡用溴时都必须预先配置好适量的20%硫代硫酸钠溶液备用。一旦有溴沾到皮肤上，立即用硫代硫酸钠溶液冲洗，再用大量水冲洗干净，包上消毒纱布后就医。( ),对
259,判断题,24.空化学试剂瓶可以视为普通垃圾，装入结实的纸箱，积存一满箱后，妥善丢弃。( ),错
260,判断题,25.操作高速运转类设备一般情况下必须佩戴手套，应使用专用工具操作的地方绝对不能用手直接操作。( ),错
261,判断题,26.移动气体钢瓶应使用手推车，没有手推车时，一定要轻轻拖拉、滚动或滑动气体钢瓶。( ),错
262,判断题,27.激光器按其波长和功率输出大小及对人体伤害分为四级，一级激光器即大功率激光器。( ),错
263,判断题,28.实验室内的通风柜不要存放物品（包括化学品）。它们不仅会阻挡气流，还会干扰污染物控制。( ),对
264,判断题,29.可燃性气体和助燃性气体瓶要分开存放，与明火的距离应大于十米（无法达到标准时，应采取隔离等措施）。( ),对
265,判断题,30.有机溶剂（乙醚、乙醇、苯、丙酮等）易燃，使用时一定要远离火源，用后应把瓶塞盖严，放到阴凉的地方。一旦不慎因有机溶剂引起着火时，应立即用沙土或湿布扑灭，火势较大的，可用水扑救。( ),错
266,判断题,"1、中华人民共和国境内的车辆驾驶人、行人、乘车人以及与道路交通活动有关的单位和个人,都应当遵守《中华人民共和国道路交通安全法》。( )",正确
267,判断题,2、持有境外机动车驾驶证的人在中华人民共和国境内可以驾驶机动车辆。( ),错误
268,判断题,"3、公安机关交通管理部门以外的任何单位或者个人,不得收缴、扣留机动车驾驶证。( )",正确
269,判断题,"4、行人、非机动车及其他设计最高时速低于七十公里的机动车,不得进入高速公路。( )",正确
270,判断题,"5、现行《中华人民共和国道路交通安全法》经第十一届全国人民代表大会常务委员会第二十次会议修订,自 2011年 5月 1日起施行。( )",正确
271,判断题,"6、在教练员随车指导下,在道路上可以使用常规车辆学习机动车驾驶技能。( )",错误
272,判断题,"7、在校园内,机动车应当低速行驶,避让行人;有限速标志的,按照限速标志行驶。( )",正确
273,判断题,8、在校园道路上可以使用滑板、旱冰鞋等滑行工具。( ),错误
274,判断题,"9、学校、社会团体、企业事业单位应当落实交通安全责任制,加强对所属人员的交通安全教育和车辆的管理工作。( )",正确
275,判断题,"10、机动车与机动车、机动车与非机动车发生财产损失事故,当事人对事实及成因无争议的,可以自行协商处理损害赔偿事宜。( )",正确
276,判断题,11、交通安全意识淡薄是造成大学生交通安全事故的主要原因之一。( ),正确
277,判断题,"12、校园内的机动车驾驶人,遇到行人和非机动车辆应主动让行。( )",正确
278,判断题,"13、交通事故的损失是由非机动车驾驶人、行人故意造成的,机动车一方不承担责任。( )",正确
279,判断题,"14、及时报案、抢救伤员、保护现场、控制肇事者,是处理交通事故的基本原则。( )",正确
280,判断题,15、未考取摩托车驾驶证驾驶摩托车属于无证驾驶。( ),正确
281,判断题,1、台风中心的风力最大。( ),错误
282,判断题,2、大江大河出海口的三角洲地区是风暴潮灾害最严重的地区。( ),正确
283,判断题,"3、地震时遇到化工厂着火、毒气泄漏,要尽量顺风跑,并用湿毛巾捂住口鼻。( )",错误
284,判断题,4、台风是诱发海啸的原因之一。( ),错误
285,判断题,5、海洋灾害主要包括风暴潮灾害、海浪灾害、水土流失、海雾灾害、温室效应、海啸灾害等。( ),错误
286,判断题,6、泡沫灭火器可用于电气火灾。( ),错误
287,判断题,7、海洋中产生赤潮的原因是海洋中的原核生物和真核生物过度繁殖。( ),正确
288,判断题,8、海水倒灌会造成地面沉降。( ),正确
289,判断题,"9、山洪暴发时若在山上来不及逃走,可用绳子将身体绑在大树上。( )",正确
290,判断题,10、台风的破坏力主要由强风、暴雨和风暴潮三个因素引起。( ),正确
291,判断题,11、公共场所内严禁带入和存放易燃易爆物品。( ),正确
292,判断题,12、二氧化碳灭火器使用不当会冻伤手指。( ),正确
293,判断题,13、注重监测、预报、预警可以预防寒潮。( ),正确
294,判断题,"14、赤潮本来是一种自然的海洋现象,但随着工业化的发展,现在的赤潮灾害也带有人为灾害的属性。( )",正确
295,判断题,15、地震发生时可以在立交桥下避灾。( ),错误
296,判断题,1、成人 50kg人体的总血容量是 3500-4000亳升左右。( ),正确
297,判断题,2、大肠参与化学性消化和吸收。( ),错误
298,判断题,3、大量出血后，本已失去造血功能的黄骨髓可暂时恢复造血功能。( ),正确
299,判断题,"4、人喝醉酒而东倒西歪,是酒精使小脑麻痹的结果。( )",正确
300,判断题,5、猫犬咬伤后立即用流动水冲洗伤口 15分钟( ),正确
301,判断题,6、对溺水者在做人工呼吸之前，应清理口鼻内的异物，包括假牙。( ),正确
302,判断题,7、电击伤不但可以造成心跳停止，也可以造成烧伤。( ),正确
303,判断题,8、严重冻伤病人应立即用火烤，尽快让其复温。( ),错误
304,判断题,9、三度烧伤病人，常因剧痛而发生休克。( ),错误
305,判断题,10、骨折已错位、变形应立即进行复位，以防畸形愈。( ),错误
306,判断题,1、人们摄入含有大量活的细菌或细菌毒素的食品而引起的食物中毒称作细菌性食物中毒。( ),正确
307,判断题,2、引起食物中毒最主要、最常见的原因就是食物变质。( ),错误
308,判断题,"3、食用存放过久的熟菜、蔬菜,腌制不透的酸菜均可能引起亚硝酸盐中毒。( )",正确
309,判断题,4、使用食品添加剂或使用非食品原料可引起中毒。( ),错误
310,判断题,5、常喝纯净水对身体有益。( ),错误
311,判断题,6、流行性感冒是一种突然发生、蔓延迅速、感染众多、流行过程短的急性呼吸道传染病。( ),正确
312,判断题,7、食品广告的内容应当真实合法，不得含有虚假、夸大的内容，但可以涉及疾病预防、治疗功能。( ),错误
313,判断题,8、乙肝传染需要一定条件，如血液传播、母婴传播和性生活或生活上密切接触。( ),正确
314,判断题,"9、结核是传染病中的常见病,劳累、劳力、劳心、熬夜、减肥节食、体质弱、免疫力差等人容易感染结核病。( )",正确
315,判断题,10、SARS为呼吸道传染性疾病，主要传播方式为近距离飞沫传播或接触患者呼吸道分泌物。( ),正确
