,类型,题目,答案
192,填空题,3、中国古人认为情绪情感影响身体，怒伤（)。,肝
193,填空题,4、“知之者不如好之者，好之者不如乐之者。”由( )提出来的，它说明了兴趣对于学习的重要性。,孔子
194,填空题,5、“学者大要立志”，“学者须是立志”，由( )提出来的，它说明了意志对于学习的重要性。,朱熹
195,填空题,6、意志过程包括决心、( )、恒心。,信心
196,填空题,7、七情六欲中的“六欲”指的是求生欲、( )、表达欲、表现欲、舒适欲、情欲。,求知欲
197,填空题,1、火灾等级分为( )、( )、( )、( )四个等级。,特别重大火灾、重大火灾、较大火灾和一般火灾
198,填空题,2、20世纪我国破坏性最大的地震是,唐山大地震3、与地震的发生相伴且有成因联系的地面或低空自然发光现象叫。( )
199,填空题,4、我国东部地区春末夏初的梅雨主要出现在( )地区。,江淮地区
200,填空题,5、燃烧三要素是( )、( )、( )。,可燃物、助燃物、着火源
201,填空题,6、特大暴雨的标准是日降雨量达到( )毫米以上。,250
202,填空题,7、厄尔尼诺形成的原因主要是( )升温。,海水
203,填空题,8、地震波分为( )和( )。,纵波、横波
204,填空题,9、我国消防宣传活动日是每年的( )。,11月9日
205,填空题,"10、在火灾事故中,死亡人数( )人以上的为特大火灾。",30
206,填空题,"11、红色暴雨预警信号是指( )小时内降雨量将达100毫米以上,或者已达到100毫米以上且降雨可能持续。",3
207,填空题,12、单体雷暴一般不会超过( )小时。,1
208,填空题,13、雷暴产生的肥料是( )。,氮肥
209,填空题,14、《中华人民共和国防洪法》施行于( )年。,1998
210,填空题,15、地震破坏最严重的地区叫( )。,极震区
211,填空题,"
",
212,填空题,"
",
213,填空题,"
",
214,填空题,"
",
215,填空题,"
",
216,填空题,"
",
217,填空题,"
",
218,填空题,"
",
219,填空题,"
",
220,填空题,"
",
221,填空题,"
",
